Short name;ATX PRIME;;;;;;;;;
Name;ATX Prime;;;;;;;;;
Symbol;ATPX;;;;;;;;;
Currency;EUR;;;;;;;;;
ISIN;AT0000999925;;;;;;;;;
File for;2013-10-28;;;;;;;;;
Index holiday;no;;;;;;;;;
Composition for;2013-10-28;;;;;;;;;
File creation;2013-10-28 18:03:07;;;;;;;;;
Contact info;idx_mgmt@wienerborse.at;;;;;;;;;
;;;;;;;;;;
Name;ISIN;MIC;Country;Amount of shares;FFF;Ratio DR;Ratio share;WF;Capitalization;Weight
AGRANA BETEILIGUNGS-AG;AT0000603709;WBAH;AT;14202040;0.3000;1;1;1.0000;383412473.880000;0.8366
AMAG AUSTRIA METALL AG;AT00000AMAG3;WBAH;AT;35264000;0.3000;1;1;1.0000;226923840.000000;0.4951
ANDRITZ AG;AT0000730007;WBAH;AT;104000000;0.8000;1;1;1.0000;3600064000.000000;7.8552
AT&S AUSTRIA TECH.&SYSTEMTECH.;AT0000969985;WBAH;AT;38850000;0.7000;1;1;1.0000;193084500.000000;0.4213
CA IMMOBILIEN ANLAGEN AG;AT0000641352;WBAH;AT;87856056;0.9000;1;1;1.0000;872937772.416000;1.9047
CENTURY CASINOS INC;AT0000499900;WBAH;AT;24233174;0.9000;1;1;1.0000;89638510.626000;0.1956
CONWERT IMMOBILIEN INVEST SE;AT0000697750;WBAH;AT;85359273;0.8000;1;1;1.0000;609123772.128000;1.3291
DO & CO AG;AT0000818802;WBAH;AT;9744000;0.5000;1;1;1.0000;172566240.000000;0.3765
ERSTE GROUP BANK AG;AT0000652011;WBAH;AT;429800000;0.8000;1;1;0.9800;8188205760.000000;17.8663
EVN AG;AT0000741053;WBAH;AT;179878402;0.2000;1;1;1.0000;404006890.892000;0.8815
FLUGHAFEN WIEN AG;AT0000911805;WBAH;AT;21000000;0.5000;1;1;1.0000;582225000.000000;1.2704
FRAUENTHAL HOLDING AG;AT0000762406;WBAH;AT;7534990;0.4000;1;1;1.0000;28180862.600000;0.0615
IMMOFINANZ AG;AT0000809058;WBAH;AT;1128952687;0.9000;1;1;1.0000;3278817288.854100;7.1542
KAPSCH TRAFFICCOM AG;AT000KAPSCH9;WBAH;AT;13000000;0.5000;1;1;1.0000;259025000.000000;0.5652
LENZING AG;AT0000644505;WBAH;AT;26550000;0.5000;1;1;1.0000;711009000.000000;1.5514
MAYR-MELNHOF KARTON AG;AT0000938204;WBAH;AT;20000000;0.5000;1;1;1.0000;800000000.000000;1.7456
OESTERR. POST AG;AT0000APOST4;WBAH;AT;67552638;0.5000;1;1;1.0000;1138261950.300000;2.4836
OMV AG;AT0000743059;WBAH;AT;327272727;0.5000;1;1;1.0000;5609454540.780000;12.2395
PALFINGER AG;AT0000758305;WBAH;AT;35730000;0.5000;1;1;1.0000;469402875.000000;1.0242
POLYTEC HOLDING AG;AT0000A00XX9;WBAH;AT;22329585;0.8000;1;1;1.0000;124688402.640000;0.2721
RAIFFEISEN BANK INTERNATIONAL AG;AT0000606306;WBAH;AT;195505124;0.3000;1;1;1.0000;1563356724.066000;3.4112
RHI AG;AT0000676903;WBAH;AT;39819039;0.7000;1;1;1.0000;741291139.543500;1.6175
ROSENBAUER INTERNATIONAL AG;AT0000922554;WBAH;AT;6800000;0.5000;1;1;1.0000;197540000.000000;0.4310
S IMMO AG;AT0000652250;WBAH;AT;68118718;0.7000;1;1;1.0000;230261702.455400;0.5024
SCHOELLER-BLECKMANN OILFIELD EQUIPMENT AG;AT0000946652;WBAH;AT;16000000;0.7000;1;1;1.0000;949536000.000000;2.0718
SEMPERIT AG HOLDING;AT0000785555;WBAH;AT;20573434;0.5000;1;1;1.0000;360600864.435000;0.7868
STRABAG SE;AT000000STR1;WBAH;AT;113999997;0.2000;1;1;1.0000;440039988.420000;0.9601
TELEKOM AUSTRIA AG;AT0000720008;WBAH;AT;443000000;0.6000;1;1;1.0000;1606761000.000000;3.5059
UNIQA INSURANCE GROUP AG;AT0000821103;WBAH;AT;309000000;0.5000;1;1;1.0000;1351875000.000000;2.9497
VALNEVA SE ST;FR0004056851;WBGF;AT;54497796;0.7000;1;1;1.0000;192649708.860000;0.4204
VERBUND AG KAT. A;AT0000746409;WBAH;AT;170233686;0.4000;1;1;1.0000;1171207759.680000;2.5555
VIENNA INSURANCE GROUP AG;AT0000908504;WBAH;AT;128000000;0.5000;1;1;1.0000;2496000000.000000;5.4461
VOESTALPINE AG;AT0000937503;WBAH;AT;172449163;0.8000;1;1;1.0000;4800294901.268001;10.4740
